07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :NickServ!NickServ@services. NOTICE FatalException :This nickname is registered. Please choose a different nickname, or identify via /msg NickServ identify <password>.
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :NickServ!NickServ@services. NOTICE FatalException :You are now identified for FatalException.
07.07.2015 - 14:27:23	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 396 FatalException unaffiliated/yoshi2889/bot/fatalexception :is now your hidden host (set by services.)
07.07.2015 - 14:27:28	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException!~FatalExce@unaffiliated/yoshi2889/bot/fatalexception JOIN #NanoPlayground
07.07.2015 - 14:27:28	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 332 FatalException #NanoPlayground :Test place for bots.
07.07.2015 - 14:27:28	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 333 FatalException #NanoPlayground FatalException!~FatalExce@unaffiliated/yoshi2889/bot/fatalexception 1425410979
07.07.2015 - 14:27:28	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 353 FatalException = #NanoPlayground :FatalException SPF|Cloud DenBeiren NanoSector Stiflerrpg sigv Stifler TimTims @ChanServ
07.07.2015 - 14:27:28	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 366 FatalException #NanoPlayground :End of /NAMES list.
07.07.2015 - 14:27:28	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException!~FatalExce@unaffiliated/yoshi2889/bot/fatalexception JOIN #smf
07.07.2015 - 14:27:28	  [ WildPHP\Manager-DEBUG ] 	<< :weber.freenode.net 332 FatalException #smf :Simple Machines Forum (SMF) official IRC channel! || SMF 2.1 Beta 1 Released! http://bit.ly/1xItRQl || SMF 2.0.10 and 1.1.21 Released! Please upgrade: http://bit.ly/1GvRVJW || Visit us at http://www.simplemachines.org/ || Online manual: http://bit.ly/I2PEnF || Looking for support? http://bit.ly/1aoqWwZ
