10.07.2015 - 21:57:08	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 353 FatalException = #smf :FatalException tomreyn +Antes luuuciano ^esc_ NanoSector Roph tvenhola Mega9 cali Metacity Kissaki Stu| spossiba paulr realz anonymouse Rymax99 Elsensee Niko^ StupidWeasel stefan RTamas SleePy callumacrae Nicofuma eichiro t @ChanServ
10.07.2015 - 21:57:08	  [ WildPHP\Manager-DEBUG ] 	<< :card.freenode.net 366 FatalException #smf :End of /NAMES list.
10.07.2015 - 21:57:09	  [ WildPHP\Manager-DEBUG ] 	<< :ChanServ!ChanServ@services. NOTICE FatalException :[#smf] Welcome to the SimpleMachines.org official IRC channel! No guarantee for support here. Please do !NOT! send private messages to anyone in this channel without asking permission first! Thank you :) Staff are +v. Have a great time! *!*Please speak English in this channel*!*
10.07.2015 - 21:57:09	  [ WildPHP\Manager-DEBUG ] 	<< :services. 328 FatalException #smf :http://www.simplemachines.org/
10.07.2015 - 21:57:11	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #NanoPlayground :#stfu
10.07.2015 - 21:57:11	  [ AUTH ] 	Checking authorization for hostname ~Yoshi2889@simplemachines/friend/NanoSector: Authorized10.07.2015 - 21:57:11	  [ DATAOUT ] 	PRIVMSG #NanoPlayground :#NanoPlayground: added to blacklist.10.07.2015 - 21:57:11	  [ MOD_STFU ] 	Adding channel #NanoPlayground to blacklist.10.07.2015 - 21:57:17	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :#stfu
10.07.2015 - 21:57:17	  [ AUTH ] 	Checking authorization for hostname ~Yoshi2889@simplemachines/friend/NanoSector: Authorized10.07.2015 - 21:57:17	  [ DATAOUT ] 	PRIVMSG #smf :#smf: added to blacklist.10.07.2015 - 21:57:17	  [ MOD_STFU ] 	Adding channel #smf to blacklist.10.07.2015 - 21:57:22	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :#talk
10.07.2015 - 21:57:22	  [ AUTH ] 	Checking authorization for hostname ~Yoshi2889@simplemachines/friend/NanoSector: Authorized10.07.2015 - 21:57:22	  [ MOD_STFU ] 	Removing channel #smf from blacklist.10.07.2015 - 21:57:22	  [ MOD_STFU ] 	Removed #smf from SayEvent recipients because it is blacklisted.10.07.2015 - 21:57:22	  [ MOD_STFU ] 	Automatically cancelled SayEvent because there are no recipients left.10.07.2015 - 21:57:24	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :oh
10.07.2015 - 21:57:25	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :okay
10.07.2015 - 21:57:27	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :uh
10.07.2015 - 21:57:29	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :wtf
10.07.2015 - 21:57:35	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :array_search returns false
10.07.2015 - 21:57:40	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :so
10.07.2015 - 21:57:41	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :that sucks
10.07.2015 - 21:58:35	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG #smf :#quit
10.07.2015 - 21:58:35	  [ AUTH ] 	Checking authorization for hostname ~Yoshi2889@simplemachines/friend/NanoSector: Authorized10.07.2015 - 21:58:35	  [ DATAOUT ] 	QUIT :WildPHP <http://wildphp.com/>10.07.2015 - 21:58:35	  [ LOG ] 	Shutdown function called, closing log...
