07.07.2015 - 19:34:41	  [ LOG ] 	Using log file /mnt/data/IRC Bot/new/Wild-IRC-Bot/logs//log107.log07.07.2015 - 19:34:41	  [ WildPHP\Manager ] 	Registered event IRCMessageInbound (with class IIRCMessageInboundEvent).07.07.2015 - 19:34:41	  [ WildPHP\Manager ] 	Registered event BotCommand (with class ICommandEvent).07.07.2015 - 19:34:41	  [ WildPHP\Manager ] 	Registered event Say (with class ISayEvent).07.07.2015 - 19:34:41	  [ WildPHP\Manager ] 	Registered event Connect (with class IConnectEvent).07.07.2015 - 19:34:41	  [ WildPHP\Manager ] 	Registered event Loop (with class IEvent).07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Module Auth registered.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Module ChannelAdmin registered.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Module ChannelManager registered.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Module CoreCommands registered.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Module Dev registered.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Module GitHub registered.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Module Help registered.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Module Remote registered.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Module Watchdog registered.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Loading module Auth...07.07.2015 - 19:34:41	  [ WildPHP\Manager ] 	Module Auth loaded.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Loading module ChannelAdmin...07.07.2015 - 19:34:41	  [ WildPHP\Manager ] 	Module ChannelAdmin loaded.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Loading module ChannelManager...07.07.2015 - 19:34:41	  [ WildPHP\Manager ] 	Registered event ChannelJoin (with class ChannelJoinEvent).07.07.2015 - 19:34:41	  [ WildPHP\Manager ] 	Module ChannelManager loaded.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Loading module CoreCommands...07.07.2015 - 19:34:41	  [ WildPHP\Manager ] 	Module CoreCommands loaded.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Loading module Dev...07.07.2015 - 19:34:41	  [ WildPHP\Manager ] 	Module Dev loaded.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Loading module GitHub...07.07.2015 - 19:34:41	  [ WildPHP\Manager ] 	Module GitHub loaded.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Loading module Help...07.07.2015 - 19:34:41	  [ WildPHP\Manager ] 	Module Help loaded.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Loading module Remote...07.07.2015 - 19:34:41	  [ WildPHP\Manager ] 	Module Remote loaded.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	Loading module Watchdog...07.07.2015 - 19:34:41	  [ TIMERMAN ] 	Added new timer PingTimeoutTimer. Next trigger in 256 seconds.07.07.2015 - 19:34:41	  [ WildPHP\Manager ] 	Module Watchdog loaded.07.07.2015 - 19:34:41	  [ WildPHP\Manager ] 	Connection to server irc.freenode.net:6667 set up with nick FatalException; ready to use.07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net NOTICE * :*** Looking up your hostname...
07.07.2015 - 19:34:41	  [ WildPHP\Manager-DEBUG ] 	<< :leguin.freenode.net NOTICE * :*** Checking Ident
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- any network-related questions or queries, where a number of
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- volunteer staff and helpful users will be happy to assist07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< you.
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :-  
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- You can meet us at FOSSCON (http://www.fosscon.org) where we get
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- together with like-minded FOSS enthusiasts for talks and
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- real-life collaboration.
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :-  
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- We would like to thank Private Internet Access
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- (https://www.privateinternetaccess.com/) and the other
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- organisations that help keep freenode and our other projects
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- running for their sustained support.
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :-  
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- In particular we would like to thank the sponsor
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :- of this server, details of which can be found above.
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 372 FatalException :-  
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 376 FatalException :End of /MOTD command.
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :FatalException MODE FatalException :+i
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :NickServ!NickServ@services. NOTICE FatalException :This nickname is registered. Please choose a different nickname, or identify via /msg NickServ identify <password>.
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :NickServ!NickServ@services. NOTICE FatalException :You are now identified for FatalException.
07.07.2015 - 19:39:03	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 396 FatalException unaffiliated/yoshi2889/bot/fatalexception :is now your hidden host (set by services.)
07.07.2015 - 19:39:15	  [ REMOTE ] 	Client 192.168.178.21 connected.07.07.2015 - 19:39:15	  [ DATAOUT ] 	PRIVMSG #NanoPlayground :Client 192.168.178.21 initiated a connection.07.07.2015 - 19:39:15	  [ DATAOUT ] 	PRIVMSG #NanoPlayground :Attempted to write data to socket: 1907.07.2015 - 19:39:15	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 404 FatalException #NanoPlayground :Cannot send to channel
07.07.2015 - 19:39:15	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 404 FatalException #NanoPlayground :Cannot send to channel
07.07.2015 - 19:40:02	  [ REMOTE ] 	Client 192.168.178.21 connected.07.07.2015 - 19:40:02	  [ DATAOUT ] 	PRIVMSG #NanoPlayground :Client 192.168.178.21 initiated a connection.07.07.2015 - 19:40:02	  [ DATAOUT ] 	PRIVMSG #NanoPlayground :Attempted to write data to socket: 1907.07.2015 - 19:40:02	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 404 FatalException #NanoPlayground :Cannot send to channel
07.07.2015 - 19:40:02	  [ WildPHP\Manager-DEBUG ] 	<< :wilhelm.freenode.net 404 FatalException #NanoPlayground :Cannot send to channel
07.07.2015 - 19:42:30	  [ WildPHP\Manager-DEBUG ] 	<< PING :wilhelm.freenode.net
07.07.2015 - 19:42:30	  [ DATAOUT ] 	PONG :wilhelm.freenode.net
07.07.2015 - 19:42:48	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG FatalException :#join #NanoPlayground
07.07.2015 - 19:42:57	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG FatalException :#join #NanoPlayground
07.07.2015 - 19:42:59	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG FatalException :#join #NanoPlayground
07.07.2015 - 19:43:04	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG FatalException :join #NanoPlayground
07.07.2015 - 19:43:13	  [ TIMERMAN ] 	Triggering timer PingTimeoutTimer07.07.2015 - 19:43:15	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG FatalException :#quit
07.07.2015 - 19:43:22	  [ WildPHP\Manager-DEBUG ] 	<< :NanoSector!~Yoshi2889@simplemachines/friend/NanoSector PRIVMSG FatalException :quit
